ID,mes,cuit,provincia,destino,monto,tipo,cuitl,juris,provins
162,03/2020,30-52276217-9,JN,JN,14750000.0,Comp. Gasoil,30522762179,BERAZATEGUI,BUENOS AIRES
163,03/2020,30-54563704-5,JN,JN,2980000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
164,03/2020,30-54563704-5,JN,JN,1620000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
165,03/2020,30-54563704-5,JN,JN,3080000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
166,03/2020,30-54563704-5,JN,JN,6250000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
167,03/2020,30-54577585-5,JN,JN,2420000.0,Comp. Gasoil,30545775855,,CIUDAD AUTONOMA BUENOS AIRES
168,03/2020,30-54577585-5,JN,JN,4600000.0,Comp. Gasoil,30545775855,,CIUDAD AUTONOMA BUENOS AIRES
169,03/2020,30-54622346-5,JN,JN,9720000.0,Comp. Gasoil,30546223465,JOSE CLEMENTE PAZ,BUENOS AIRES
170,03/2020,30-54622391-0,JN,JN,7100000.0,Comp. Gasoil,30546223910,BERAZATEGUI,BUENOS AIRES
171,03/2020,30-54622438-0,JN,JN,3120000.0,Comp. Gasoil,30546224380,SAN JUSTO,BUENOS AIRES
172,03/2020,30-54622438-0,JN,JN,2660000.0,Comp. Gasoil,30546224380,SAN JUSTO,BUENOS AIRES
173,03/2020,30-54622575-1,JN,JN,2350000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
174,03/2020,30-54622575-1,JN,JN,3300000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
175,03/2020,30-54622575-1,JN,JN,2820000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
176,03/2020,30-54622575-1,JN,JN,2670000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
177,03/2020,30-54622810-6,JN,JN,3130000.0,Comp. Gasoil,30546228106,,CIUDAD AUTONOMA BUENOS AIRES
178,03/2020,30-54622810-6,JN,JN,2630000.0,Comp. Gasoil,30546228106,,CIUDAD AUTONOMA BUENOS AIRES
179,03/2020,30-54622827-0,JN,JN,730000.0,Comp. Gasoil,30546228270,REMEDIOS DE ESCALADA,BUENOS AIRES
180,03/2020,30-54622827-0,JN,JN,4840000.0,Comp. Gasoil,30546228270,REMEDIOS DE ESCALADA,BUENOS AIRES
181,03/2020,30-54622896-3,JN,JN,4360000.0,Comp. Gasoil,30546228963,MORON,BUENOS AIRES
182,03/2020,30-54622919-6,JN,JN,3370000.0,Comp. Gasoil,30546229196,,CIUDAD AUTONOMA BUENOS AIRES
183,03/2020,30-54622964-1,JN,JN,2030000.0,Comp. Gasoil,30546229641,GREGORIO DE LAFERRERE,BUENOS AIRES
184,03/2020,30-54622964-1,JN,JN,11560000.0,Comp. Gasoil,30546229641,GREGORIO DE LAFERRERE,BUENOS AIRES
185,03/2020,30-54623417-3,JN,JN,4620000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
186,03/2020,30-54623417-3,JN,JN,1480000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
187,03/2020,30-54623417-3,JN,JN,5160000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
188,03/2020,30-54624694-5,JN,JN,1420000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
189,03/2020,30-54624694-5,JN,JN,1990000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
190,03/2020,30-54624694-5,JN,JN,1480000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
191,03/2020,30-54624694-5,JN,JN,1610000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
192,03/2020,30-54624700-3,JN,JN,14760000.0,Comp. Gasoil,30546247003,,CIUDAD AUTONOMA BUENOS AIRES
193,03/2020,30-54624724-0,JN,JN,3530000.0,Comp. Gasoil,30546247240,VILLA MARTELLI,BUENOS AIRES
194,03/2020,30-54625048-9,JN,JN,2600000.0,Comp. Gasoil,30546250489,TAPIALES,BUENOS AIRES
195,03/2020,30-54625055-1,JN,JN,2470000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
196,03/2020,30-54625055-1,JN,JN,10340000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
197,03/2020,30-54625055-1,JN,JN,3100000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
198,03/2020,30-54625079-9,JN,JN,12240000.0,Comp. Gasoil,30546250799,,CIUDAD AUTONOMA BUENOS AIRES
199,03/2020,30-54625321-6,JN,JN,5450000.0,Comp. Gasoil,30546253216,QUILMES,BUENOS AIRES
200,03/2020,30-54625352-6,JN,JN,10610000.0,Comp. Gasoil,30546253526,GONZALEZ CATAN,BUENOS AIRES
201,03/2020,30-54625437-9,JN,JN,3320000.0,Comp. Gasoil,30546254379,,CIUDAD AUTONOMA BUENOS AIRES
202,03/2020,30-54626010-7,JN,JN,2360000.0,Comp. Gasoil,30546260107,CASEROS,BUENOS AIRES
203,03/2020,30-54632033-9,JN,JN,4280000.0,Comp. Gasoil,30546320339,,CIUDAD AUTONOMA BUENOS AIRES
204,03/2020,30-54632118-1,JN,JN,5850000.0,Comp. Gasoil,30546321181,DON ORIONE,BUENOS AIRES
205,03/2020,30-54632965-4,JN,JN,8048000.0,Comp. Gasoil,30546329654,VALENTIN ALSINA,BUENOS AIRES
206,03/2020,30-54633333-3,JN,JN,6008000.0,Comp. Gasoil,30546333333,,CIUDAD AUTONOMA BUENOS AIRES
207,03/2020,30-54633708-8,JN,JN,4230000.0,Comp. Gasoil,30546337088,,CIUDAD AUTONOMA BUENOS AIRES
208,03/2020,30-54633715-0,JN,JN,3710000.0,Comp. Gasoil,30546337150,,CIUDAD AUTONOMA BUENOS AIRES
209,03/2020,30-54633739-8,JN,JN,5460000.0,Comp. Gasoil,30546337398,,CIUDAD AUTONOMA BUENOS AIRES
210,03/2020,30-54633937-4,JN,JN,3006000.0,Comp. Gasoil,30546339374,,CIUDAD AUTONOMA BUENOS AIRES
211,03/2020,30-54633975-7,JN,JN,3240000.0,Comp. Gasoil,30546339757,MUNRO,BUENOS AIRES
212,03/2020,30-54634060-7,JN,JN,2970000.0,Comp. Gasoil,30546340607,BOULOGNE,BUENOS AIRES
213,03/2020,30-54634060-7,JN,JN,1280000.0,Comp. Gasoil,30546340607,BOULOGNE,BUENOS AIRES
214,03/2020,30-54634107-7,JN,JN,4660000.0,Comp. Gasoil,30546341077,WILDE,BUENOS AIRES
215,03/2020,30-54634121-2,JN,JN,5140000.0,Comp. Gasoil,30546341212,MUNRO,BUENOS AIRES
216,03/2020,30-54634305-3,JN,JN,4710000.0,Comp. Gasoil,30546343053,TABLADA,BUENOS AIRES
217,03/2020,30-54634312-6,JN,JN,5480000.0,Comp. Gasoil,30546343126,9 DE ABRIL,BUENOS AIRES
218,03/2020,30-54634404-1,JN,JN,4150000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
219,03/2020,30-54634404-1,JN,JN,2410000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
220,03/2020,30-54634404-1,JN,JN,5152000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
221,03/2020,30-54634404-1,JN,JN,4430000.0,Comp. Gasoil,30546344041,,CIUDAD AUTONOMA BUENOS AIRES
222,03/2020,30-54634671-0,JN,JN,2320000.0,Comp. Gasoil,30546346710,REMEDIOS DE ESCALADA,BUENOS AIRES
223,03/2020,30-54635094-7,JN,JN,3510000.0,Comp. Gasoil,30546350947,LOMA HERMOSA,BUENOS AIRES
224,03/2020,30-54635216-8,JN,JN,572000.0,Comp. Gasoil,30546352168,PARANA,ENTRE RIOS
