cuit,provincia,destino,monto,tipo,cuitl,juris,provins
30-52276217-9,JN,JN,14750000.0,Comp. Gasoil,30522762179,BERAZATEGUI,BUENOS AIRES
30-54563704-5,JN,JN,2980000.0,Comp. Gasoil,30545637045,,CIUDAD AUTONOMA BUENOS AIRES
30-54577585-5,JN,JN,2420000.0,Comp. Gasoil,30545775855,,CIUDAD AUTONOMA BUENOS AIRES
30-54622346-5,JN,JN,9720000.0,Comp. Gasoil,30546223465,JOSE CLEMENTE PAZ,BUENOS AIRES
30-54622391-0,JN,JN,7100000.0,Comp. Gasoil,30546223910,BERAZATEGUI,BUENOS AIRES
30-54622438-0,JN,JN,3120000.0,Comp. Gasoil,30546224380,SAN JUSTO,BUENOS AIRES
30-54622575-1,JN,JN,2350000.0,Comp. Gasoil,30546225751,,CIUDAD AUTONOMA BUENOS AIRES
30-54622810-6,JN,JN,3130000.0,Comp. Gasoil,30546228106,,CIUDAD AUTONOMA BUENOS AIRES
30-54622827-0,JN,JN,730000.0,Comp. Gasoil,30546228270,REMEDIOS DE ESCALADA,BUENOS AIRES
30-54622896-3,JN,JN,4360000.0,Comp. Gasoil,30546228963,MORON,BUENOS AIRES
30-54622919-6,JN,JN,3370000.0,Comp. Gasoil,30546229196,,CIUDAD AUTONOMA BUENOS AIRES
30-54622964-1,JN,JN,2030000.0,Comp. Gasoil,30546229641,GREGORIO DE LAFERRERE,BUENOS AIRES
30-54623417-3,JN,JN,4620000.0,Comp. Gasoil,30546234173,EL PALOMAR,BUENOS AIRES
30-54624694-5,JN,JN,1420000.0,Comp. Gasoil,30546246945,VALENTIN ALSINA,BUENOS AIRES
30-54624700-3,JN,JN,14760000.0,Comp. Gasoil,30546247003,,CIUDAD AUTONOMA BUENOS AIRES
30-54624724-0,JN,JN,3530000.0,Comp. Gasoil,30546247240,VILLA MARTELLI,BUENOS AIRES
30-54625048-9,JN,JN,2600000.0,Comp. Gasoil,30546250489,TAPIALES,BUENOS AIRES
30-54625055-1,JN,JN,2470000.0,Comp. Gasoil,30546250551,,CIUDAD AUTONOMA BUENOS AIRES
30-54625079-9,JN,JN,12240000.0,Comp. Gasoil,30546250799,,CIUDAD AUTONOMA BUENOS AIRES
30-54625321-6,JN,JN,5450000.0,Comp. Gasoil,30546253216,QUILMES,BUENOS AIRES
30-54625352-6,JN,JN,10610000.0,Comp. Gasoil,30546253526,GONZALEZ CATAN,BUENOS AIRES
30-54625437-9,JN,JN,3320000.0,Comp. Gasoil,30546254379,,CIUDAD AUTONOMA BUENOS AIRES
30-54626010-7,JN,JN,2360000.0,Comp. Gasoil,30546260107,CASEROS,BUENOS AIRES
30-54632033-9,JN,JN,4280000.0,Comp. Gasoil,30546320339,,CIUDAD AUTONOMA BUENOS AIRES
30-54632118-1,JN,JN,5850000.0,Comp. Gasoil,30546321181,DON ORIONE,BUENOS AIRES
30-54632965-4,JN,JN,8048000.0,Comp. Gasoil,30546329654,VALENTIN ALSINA,BUENOS AIRES
30-54633333-3,JN,JN,6008000.0,Comp. Gasoil,30546333333,,CIUDAD AUTONOMA BUENOS AIRES
30-54633708-8,JN,JN,4230000.0,Comp. Gasoil,30546337088,,CIUDAD AUTONOMA BUENOS AIRES
30-54633715-0,JN,JN,3710000.0,Comp. Gasoil,30546337150,,CIUDAD AUTONOMA BUENOS AIRES
30-54633739-8,JN,JN,5460000.0,Comp. Gasoil,30546337398,,CIUDAD AUTONOMA BUENOS AIRES
30-54633937-4,JN,JN,3006000.0,Comp. Gasoil,30546339374,,CIUDAD AUTONOMA BUENOS AIRES
30-54633975-7,JN,JN,3240000.0,Comp. Gasoil,30546339757,MUNRO,BUENOS AIRES
30-54634060-7,JN,JN,2970000.0,Comp. Gasoil,30546340607,BOULOGNE,BUENOS AIRES
30-54634107-7,JN,JN,4660000.0,Comp. Gasoil,30546341077,WILDE,BUENOS AIRES
30-54634121-2,JN,JN,5140000.0,Comp. Gasoil,30546341212,MUNRO,BUENOS AIRES
30-54634305-3,JN,JN,4710000.0,Comp. Gasoil,30546343053,TABLADA,BUENOS AIRES
30-54634312-6,JN,JN,5480000.0,Comp. Gasoil,30546343126,9 DE abril,BUENOS AIRES
